Unnamed: 0,smiles,MW,clogp,tpsa,qed,bcl2,bclw,bclxl,mcl1,SAs
377,O=C(NCc1cnn(-c2ccccc2)c1)C1CCN(c2ccc(S(=O)(=O)N3CCOCC3)cc2[N+](=O)[O-])CC1,554.19475368,2.3342,139.91000000000005,0.3305998662497731,5.190880298614502,5.000578880310059,4.859349250793457,5.431779861450195,2.5572657265548138
378,O=C(C1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(S(=O)(=O)c2ccccc2[N+](=O)[O-])CC1,556.0853188200001,2.1820000000000004,138.21,0.3923551019065718,6.073564529418945,6.630810737609863,6.140347003936768,6.048476696014404,2.337693571001763
379,COC(=O)c1sccc1NC(=O)C1CCN(c2ccc(S(=O)(=O)N3CCOCC3)cc2[N+](=O)[O-])CC1,538.1192057919999,2.3189,148.39,0.3183817644006607,5.558804988861084,6.136973857879639,5.72329568862915,5.884683609008789,2.559427482654467
380,Cc1ncc([N+](=O)[O-])cc1C(=O)Nc1cc(S(=O)(=O)N2CCCCC2)ccc1N1CCN(C)CC1,502.19983906,2.4769200000000007,128.98999999999998,0.471170153899793,5.937305450439453,5.5344743728637695,5.904800415039063,6.002353668212891,2.4848740313921525
381,O=C(Cc1cc2c(cc1Br)OCCO2)N1CCN(S(=O)(=O)c2cccc([N+](=O)[O-])c2)CC1,525.0205330800001,2.2041000000000004,119.29000000000002,0.4330089524881578,5.602658271789551,5.529036045074463,5.168280601501465,6.149168968200684,2.454675588549783
382,O=C1SC(=Cc2ccc(Cl)c([N+](=O)[O-])c2)C(=O)N1CCNC(=S)NCCN1CCOCC1,499.0750884840001,2.0808,117.05,0.2380607502774312,4.003516674041748,4.440384864807129,3.723137378692627,4.578116893768311,2.641654050088245
383,CCn1c(CCC(=O)N2CCN(c3ccccc3[N+](=O)[O-])CC2)nc2cc(S(=O)(=O)N(C)C)ccc21,514.1998390599999,2.4961,121.89,0.334335928880042,6.385554790496826,6.083247661590576,5.871435165405273,6.7599053382873535,2.497435263309457
384,CCN(CC)S(=O)(=O)c1ccc(N2CCC(C(=O)NCCCN3C(=O)NC4(CCCC4)C3=O)CC2)c([N+](=O)[O-])c1,578.252268556,2.212600000000001,162.27,0.1747714065827089,7.263742923736572,6.650957107543945,7.617288112640381,5.526412010192871,3.200333715108456
385,CCN(CC)S(=O)(=O)c1ccc(N2CC(C(=O)NCCc3cc(OC)c(OC)cc3[N+](=O)[O-])CC2=O)cc1,548.1940849839999,2.3543000000000003,148.39,0.3139012118602123,6.785832405090332,6.399847984313965,6.980535984039307,6.370425224304199,2.975486375084291
386,CN(Cc1ccccc1Br)C(=O)COc1ccc(S(=O)(=O)N2CCOCC2)cc1[N+](=O)[O-],527.0361831439999,2.4156000000000004,119.29000000000002,0.381431784214713,5.788957595825195,4.977145195007324,4.918210983276367,6.2833123207092285,2.373968483968969
387,COc1cc(C=c2sc(=CC(=O)C(C)(C)C)n(CC(=O)NC3CCCC3)c2=O)c([N+](=O)[O-])cc1OC,517.1882713319999,2.1185,129.77,0.4193121301540978,4.942923545837402,4.838634967803955,4.745384216308594,5.419050216674805,2.8956877217081995
388,CNS(=O)(=O)c1ccc(N2CCN(CC(=O)Nc3ccc(OC(F)(F)F)cc3)CC2)c([N+](=O)[O-])c1,517.124289084,2.1621999999999995,134.12,0.4020455245948387,5.249120712280273,5.402403354644775,4.908720970153809,4.789024353027344,2.371353966635482
